YEAR,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1916,,,,,,,3758,1728,1522,1439,1421,2721
1917,1705,1276,1999,7802,5846,8741,3089,1471,1203,1160,1881,776.8
1918,651.6,615.4,1636,5977,3599,1637,1639,1217,1724,3039,3005,2774
1919,2596,1604,4508,6103,5044,2347,1173,865.6,1187,1458,3343,2545
1920,1292,1152,3746,11300,7323,2806,1173,1055,941.7,1838,1796,4877
1921,1952,1443,7046,7568,3044,1060,829.4,600.2,501,602.2,1195,1900
1922,1091,1021,3612,9990,6115,6096,4106,1232,1013,894.7,760.1,563.7
1923,970.3,726.4,997.4,8001,7962,2134,962.1,627.3,513.7,712.8,1524,4158
1924,2390,1560,1666,7088,8354,2399,994.4,733,1942,1775,1708,2043
1925,1110,2969,4810,7797,3183,1176,1385,1281,1054,1302,3601,3417
1926,1629,1561,1487,4807,6714,2455,1120,767.1,602.9,808.7,2986,1883
1927,1248,1220,3275,4717,3833,1964,1390,1232,1471,1860,5244,4412
1928,2533,2517,2593,7625,7105,4383,2352,2107,1804,1009,1104,1269
1929,2433,1588,3647,7022,7011,1950,1117,646.7,621,737.4,738.6,641.7
1930,1126,1202,4189,6356,3051,3319,1419,1781,1020,772.2,1738,1459
1931,1002,879.8,1217,6256,4927,5118,1310,845.7,789.7,780.6,1148,1075
1932,2435,1985,1520,7816,3491,1087,995.6,926.8,1609,2286,4038,2027
1933,1491,1478,1551,9923,5809,1471,810.3,836.5,1002,1455,1281,1175
1934,1069,996.8,1776,9620,4595,1237,802.3,671.6,1521,1568,1987,2484
1935,2816,2043,2506,6491,5261,3633,1965,1100,1136,798.8,1309,2242
1936,1816,1420,16220,9503,4168,1023,748.5,509.6,548.5,1099,1494,2839
1937,3482,2639,2585,6969,11720,3362,1429,916.8,815.6,1532,3456,4072
1938,2469,3197,2986,7697,3722,1581,1161,1435,2360,1828,1596,4565
1939,1775,1355,1600,6294,7497,1964,930.3,962.9,800.3,808.5,1295,1136
1940,801.3,700.2,805.2,7714,9961,3841,1237,983.1,1434,816.6,2046,1298
1941,2036,1974,1495,4130,1707,996,1146,784.6,645.9,714.8,1304,980
1942,1591,1114,2864,7010,4088,2734,1214,801.1,683.3,815.9,1708,1755
1943,1085,1249,2535,4665,8548,2370,1381,1933,1562,1820,4907,2060
1944,1240,1176,1466,5633,6821,2605,2678,987.7,1219,1262,1682,1976
1945,2385,1689,4451,8672,7216,4549,2675,1158,1182,1920,2137,3330
1946,2235,1855,5686,4985,4354,2638,1033,2454,1742,3031,2094,1775
1947,2005,3276,3363,6366,6655,4321,1772,996,740.6,405.6,721.9,559.9
1948,527.7,751.7,3001,5580,6029,2926,1073,671.6,463.4,532.8,1669,1619
1949,5209,1977,2594,5657,3441,1344,662.4,424.3,675.2,723.4,1253,1422
